Dwarf    (1) Dachshun Garfum Grimla
Elf      (2) Ferocia Herclin Liana Oenone Sarano Shazera Tofutti
Gnome    (3) Chomsky
Half Elf (4) Fleur Ganymede Greyling Kragthorn Silmer Valorion
Half Orc (5)
Halfling (6) Grizwaldo Ponk Samet Thirmirel
Human    (7) Allagola Bismuth Lefty Linmer Tamara

Assassin    (01)
Bard        (02)
Cleric      (03) Grimla Kragthorn
Druid       (04) Fleur Liana Samet
Fighter     (05) Allagola Dachshun Ferocia Ganymede Garfum Herclin Silmer Valorion
Illusionist (06) Bismuth Chomsky Ponk
Monk        (07) Tamara Tofutti
Paladin     (08)
Ranger      (09) Greyling
Thief       (10) Chomsky Grizwaldo Sarano Shazera Thirmirel
Wizard      (11) Grizwaldo Lefty Linmer Oenone Sarano

         - Race mods inc -          Raw
         ST IN WI DX CO CH XST      HP  R # CL CL XPT       XPT
ALLAGOLA 18 16 10 18 14 17 047 0020 010 7 1 05    000000342
BISMUTH  11 16 16 18 17 09 000 0020 005 7 1 06    000000312
CHOMSKY  16 17 11 17 11 16 000 0020 009 3 2 06 10 000002362 000002729
DACHSHUN 13 17 14 13 16 14 000 0020 011 1 1 05    000002833
FEROCIA  17 16 12 18 09 14 000 0020 005 2 1 05    000000744
FLEUR    15 13 13 10 17 17 000 0020 001 4 1 04    000000312
GANYMEDE 15 10 10 08 12 15 000 0020 008 4 1 05    000000836
GARFUM   15 12 08 15 19 13 000 0020 042 1 1 05    000008737
GREYLING 14 14 15 15 15 17 000 0020 031 4 1 09    000010506
GRIMLA   12 12 17 13 19 09 000 0020 013 1 1 03    000000343
GRIZWALD 07 16 15 12 17 13 000 0020 006 6 2 10 11 000000439 000000482
HERCLIN  18 16 12 10 11 12 029 0020 035 2 1 05    000022470
KRAGTHOR 11 16 18 08 09 17 000 0026 050 4 1 03    000118549
LEFTY    10 15 18 16 09 10 000 0020 004 7 1 11    000000323
LIANA    13 15 13 16 13 15 000 0020 015 2 1 04    000002386
LINMER   16 16 06 14 17 13 000 0020 007 7 1 11    000003006
OENONE   14 16 16 10 15 16 000 0020 004 2 1 11    000001539
PONK     09 17 12 16 10 14 000 0020 004 6 1 06    000000660
SAMET    12 12 12 16 16 15 000 0020 010 6 1 04    000001204
SARANO   14 17 13 17 18 16 000 0020 006 2 2 10 11 000000000 000000000
SHAZERA  11 09 12 17 10 15 000 0020 005 2 1 10    000000000
SILMER   18 11 12 08 14 16 065 0020 004 4 1 05    000000000
TAMARA   16 13 16 15 11 10 000 0018 023 7 1 07    000155884
THIRMIRE 12 11 16 16 12 11 000 0020 008 6 1 10    000001412
TOFUTTI  15 13 15 16 11 11 000 0020 005 2 1 07    000000836
VALORION 18 13 11 13 18 12 088 0020 047 4 1 05    000011305
